,Product Name,Company,Export Country,Date,Units Sold,unit_price,Profit per unit,Export Value,Destination Port,Transportation Mode,Profit,Cost of goods sold,Profit Margin,company_short
38,Cocoa,Agro Allied Exporters Nigeria Limited,Germany,2022-11-25,273,29358.38,5452.34,8014837.74,Warri,Sea,1488488.82,6526348.92,0.19,AAENL
39,Cashew,Greenfield Agro Exporters Nigeria Limited,Austria,2023-01-09,494,30668.78,5725.02,15150377.32,Lagos,Sea,2828159.8800000004,12322217.44,0.19,GAENL
40,Palm Oil,Farmgate Nigeria Limited,Italy,2021-10-10,537,48105.59,5191.38,25832701.83,Lagos,Sea,2787771.06,23044930.77,0.11,FNL
41,Cashew,Nigerian Export Promotion Council (NEPC),Italy,2021-12-28,360,25462.65,9477.39,9166554.0,Lagos,Sea,3411860.4,5754693.6,0.37,NEPC
42,Palm Oil,Greenfield Agro Exporters Nigeria Limited,Belgium,2020-07-20,698,36248.77,3758.47,25301641.46,Lagos,Sea,2623412.06,22678229.400000002,0.1,GAENL
43,Palm Oil,Prime Agro Exports Nigeria Limited,Sweden,2023-01-08,988,28860.1,3599.16,28513778.8,Port Harcourt,Sea,3555970.08,24957808.72,0.12,PAENL
44,Cocoa,Agro Allied Exporters Nigeria Limited,Denmark,2020-04-24,482,34497.66,2071.13,16627872.12,Port Harcourt,Sea,998284.66,15629587.459999999,0.06,AAENL
45,Sesame,Agro Allied Exporters Nigeria Limited,Austria,2023-07-10,933,21358.84,5191.57,19927797.72,Lagos,Sea,4843734.81,15084062.91,0.24,AAENL
46,Cashew,Agro Export Nigeria Ltd,France,2023-05-09,409,48643.45,3745.48,19895171.05,Lagos,Sea,1531901.32,18363269.73,0.08,AENL
47,Palm Oil,Greenfield Agro Exporters Nigeria Limited,Sweden,2020-09-11,187,26876.43,7122.88,5025892.41,Port Harcourt,Sea,1331978.56,3693913.85,0.27,GAENL
48,Cocoa,Agriplus Nigeria Limited,Spain,2022-07-02,640,37592.2,7882.03,24059008.0,Lagos,Sea,5044499.2,19014508.8,0.21,ANL
49,Ginger,Agro Allied Exporters Nigeria Limited,Spain,2021-04-22,985,22041.82,9336.12,21711192.7,Port Harcourt,Sea,9196078.200000001,12515114.499999998,0.42,AAENL
50,Cocoa,Nigeria Agro Export Company,France,2022-03-17,746,11537.24,4261.71,8606781.04,Calabar,Sea,3179235.66,5427545.379999999,0.37,NAEC
51,Cassava,Golden Farms Nigeria Limited,Netherlands,2021-08-06,184,11548.45,4562.51,2124914.8,Port Harcourt,Sea,839501.8400000001,1285412.9599999997,0.4,GFNL
52,Palm Oil,Nigerian Export Promotion Council (NEPC),Italy,2023-02-12,610,39943.95,7608.7,24365809.5,Lagos,Sea,4641307.0,19724502.5,0.19,NEPC
53,Rubber,Nigeria Agro Export Company,Spain,2020-04-30,945,20163.08,5019.62,19054110.6,Lagos,Sea,4743540.899999999,14310569.700000003,0.25,NAEC
54,Cocoa,Farmgate Nigeria Limited,Sweden,2021-03-23,864,40976.45,3472.61,35403652.8,Lagos,Sea,3000335.04,32403317.759999998,0.08,FNL
55,Rubber,Agro Allied Exporters Nigeria Limited,Italy,2021-11-08,346,45825.21,2333.75,15855522.66,Warri,Sea,807477.5,15048045.16,0.05,AAENL
56,Plantain,Golden Farms Nigeria Limited,Italy,2020-08-16,617,11446.76,6752.01,7062650.92,Calabar,Sea,4165990.17,2896660.75,0.59,GFNL
57,Cashew,Agro Export Nigeria Ltd,Spain,2020-07-03,511,28130.25,9295.18,14374557.75,Lagos,Sea,4749836.98,9624720.77,0.33,AENL
58,Cassava,Prime Agro Exports Nigeria Limited,Belgium,2021-08-29,493,26013.72,5430.98,12824763.96,Port Harcourt,Sea,2677473.1399999997,10147290.82,0.21,PAENL
59,Ginger,Agro Export Nigeria Ltd,Germany,2021-02-07,554,40655.79,3828.59,22523307.66,Port Harcourt,Sea,2121038.86,20402268.8,0.09,AENL
60,Sesame,Nigeria Agro Export Company,France,2020-05-24,594,47688.67,9913.49,28327069.98,Lagos,Sea,5888613.06,22438456.92,0.21,NAEC
61,Ginger,Farmgate Nigeria Limited,Netherlands,2021-01-29,307,20303.59,7637.18,6233202.13,Lagos,Sea,2344614.2600000002,3888587.8699999996,0.38,FNL
62,Cashew,Agriplus Nigeria Limited,Switzerland,2021-06-17,456,21633.6,4135.44,9864921.6,Calabar,Sea,1885760.64,7979160.96,0.19,ANL
63,Plantain,Nigeria Agro Export Company,Spain,2020-12-25,363,21256.72,4413.29,7716189.36,Lagos,Sea,1602024.27,6114165.09,0.21,NAEC
64,Cocoa,Nigeria Agro Export Company,Spain,2022-08-21,337,12898.06,2443.4,4346646.22,Lagos,Sea,823425.8,3523220.42,0.19,NAEC
65,Cashew,Greenfield Agro Exporters Nigeria Limited,Germany,2022-04-08,253,10966.93,2635.2,2774633.29,Port Harcourt,Sea,666705.6,2107927.69,0.24,GAENL
66,Plantain,Prime Agro Exports Nigeria Limited,Sweden,2020-08-29,631,30503.36,9796.94,19247620.16,Lagos,Sea,6181869.140000001,13065751.02,0.32,PAENL
67,Palm Oil,Agriplus Nigeria Limited,Austria,2023-08-30,227,18867.01,9051.29,4282811.27,Lagos,Sea,2054642.8300000003,2228168.4399999995,0.48,ANL
68,Cashew,Nigeria Agro Export Company,Italy,2021-05-29,494,29181.06,2446.06,14415443.64,Lagos,Sea,1208353.64,13207090.0,0.08,NAEC
69,Sesame,Prime Agro Exports Nigeria Limited,Italy,2023-05-12,911,24589.63,5784.62,22401152.93,Calabar,Sea,5269788.82,17131364.11,0.24,PAENL
70,Cocoa,Agro Allied Exporters Nigeria Limited,Sweden,2023-02-18,172,19594.66,9712.0,3370281.52,Warri,Sea,1670464.0,1699817.52,0.5,AAENL
71,Ginger,Agro Export Nigeria Ltd,Austria,2021-06-09,651,10926.4,2904.18,7113086.4,Warri,Sea,1890621.18,5222465.220000001,0.27,AENL
72,Cashew,Farmgate Nigeria Limited,Austria,2021-04-21,238,28152.42,8234.85,6700275.96,Lagos,Sea,1959894.3,4740381.66,0.29,FNL
73,Cashew,Nigeria Agro Export Company,Italy,2021-05-25,112,37672.07,5265.33,4219271.84,Lagos,Sea,589716.96,3629554.88,0.14,NAEC
74,Cocoa,Prime Agro Exports Nigeria Limited,Belgium,2020-08-31,118,22796.67,4784.42,2690007.06,Lagos,Sea,564561.56,2125445.5,0.21,PAENL
75,Ginger,Nigeria Agro Export Company,Austria,2022-12-09,115,37857.65,2928.51,4353629.75,Port Harcourt,Sea,336778.65,4016851.1,0.08,NAEC
76,Plantain,Nigerian Export Promotion Council (NEPC),Germany,2021-10-08,999,20493.76,8990.87,20473266.24,Warri,Sea,8981879.13,11491387.109999998,0.44,NEPC
77,Rubber,Nigeria Agro Export Company,Germany,2020-01-14,189,32429.66,5579.11,6129205.74,Lagos,Sea,1054451.79,5074753.95,0.17,NAEC
78,Ginger,Farmgate Nigeria Limited,Spain,2020-06-28,371,15691.82,6331.62,5821665.22,Lagos,Sea,2349031.02,3472634.1999999997,0.4,FNL
79,Palm Oil,Agro Allied Exporters Nigeria Limited,Spain,2021-07-30,367,41045.83,2057.84,15063819.61,Port Harcourt,Sea,755227.28,14308592.33,0.05,AAENL
80,Sesame,Farmgate Nigeria Limited,Switzerland,2021-09-02,284,34203.29,5562.73,9713734.36,Lagos,Sea,1579815.3199999998,8133919.039999999,0.16,FNL
81,Sesame,Prime Agro Exports Nigeria Limited,Switzerland,2022-08-16,484,19067.8,3327.57,9228815.2,Calabar,Sea,1610543.8800000001,7618271.319999999,0.17,PAENL
82,Ginger,Agro Export Nigeria Ltd,Denmark,2023-04-02,671,47059.63,2744.68,31577011.73,Port Harcourt,Sea,1841680.2799999998,29735331.45,0.06,AENL
83,Rubber,Golden Farms Nigeria Limited,Belgium,2021-11-25,671,23316.71,3376.13,15645512.41,Lagos,Sea,2265383.23,13380129.18,0.14,GFNL
84,Cashew,Nigeria Agro Export Company,Italy,2020-09-05,604,26272.25,3836.47,15868439.0,Lagos,Sea,2317227.88,13551211.120000001,0.15,NAEC
85,Palm Oil,Solid Agro Nigeria Limited,Netherlands,2020-08-04,390,42865.76,8235.34,16717646.4,Lagos,Sea,3211782.6,13505863.8,0.19,SANL
86,Cashew,Nigerian Export Promotion Council (NEPC),Switzerland,2020-05-30,444,25730.68,5539.83,11424421.92,Lagos,Sea,2459684.52,8964737.4,0.22,NEPC
87,Sesame,Agriplus Nigeria Limited,Spain,2023-11-25,667,20963.97,8605.95,13982967.99,Calabar,Sea,5740168.65,8242799.34,0.41,ANL
88,Rubber,Agriplus Nigeria Limited,Italy,2022-07-13,272,13913.4,8925.23,3784444.8,Lagos,Sea,2427662.56,1356782.2399999998,0.64,ANL
89,Cocoa,Farmgate Nigeria Limited,Spain,2022-03-23,340,26117.99,2018.73,8880116.6,Lagos,Sea,686368.2,8193748.399999999,0.08,FNL
90,Ginger,Agro Allied Exporters Nigeria Limited,Denmark,2022-09-02,359,39185.03,5876.48,14067425.77,Warri,Sea,2109656.32,11957769.45,0.15,AAENL
91,Cassava,Agro Export Nigeria Ltd,Italy,2020-05-13,895,44627.31,6484.53,39941442.45,Calabar,Sea,5803654.35,34137788.1,0.15,AENL
92,Rubber,Agro Allied Exporters Nigeria Limited,Netherlands,2022-08-26,805,18006.64,5923.04,14495345.2,Port Harcourt,Sea,4768047.2,9727298.0,0.33,AAENL
93,Cassava,Prime Agro Exports Nigeria Limited,Switzerland,2020-09-10,711,33178.93,7017.84,23590219.23,Lagos,Sea,4989684.24,18600534.990000002,0.21,PAENL
94,Rubber,Farmgate Nigeria Limited,Netherlands,2023-08-04,785,19604.0,4682.57,15389140.0,Lagos,Sea,3675817.4499999997,11713322.55,0.24,FNL
95,Sesame,Prime Agro Exports Nigeria Limited,Germany,2022-04-20,573,25825.9,5873.67,14798240.7,Lagos,Sea,3365612.91,11432627.79,0.23,PAENL
96,Ginger,Prime Agro Exports Nigeria Limited,Austria,2022-04-17,329,37602.34,5086.95,12371169.86,Lagos,Sea,1673606.55,10697563.309999999,0.14,PAENL
97,Rubber,Greenfield Agro Exporters Nigeria Limited,Germany,2020-01-30,547,40318.72,3455.24,22054339.84,Calabar,Sea,1890016.2799999998,20164323.56,0.09,GAENL
98,Sesame,Nigeria Agro Export Company,Belgium,2020-02-09,346,45875.11,3490.75,15872788.06,Lagos,Sea,1207799.5,14664988.56,0.08,NAEC
99,Cocoa,Agro Allied Exporters Nigeria Limited,Denmark,2021-10-01,815,12663.48,6749.3,10320736.2,Port Harcourt,Sea,5500679.5,4820056.699999999,0.53,AAENL
100,Plantain,Golden Farms Nigeria Limited,Belgium,2022-08-09,386,21185.94,4796.95,8177772.84,Lagos,Sea,1851622.7,6326150.14,0.23,GFNL
101,Sesame,Agriplus Nigeria Limited,Belgium,2020-03-15,558,42069.64,4852.43,23474859.12,Lagos,Sea,2707655.94,20767203.18,0.12,ANL
102,Cashew,Greenfield Agro Exporters Nigeria Limited,Spain,2022-07-20,275,18649.39,2111.99,5128582.25,Lagos,Sea,580797.2499999999,4547785.0,0.11,GAENL
103,Plantain,Agro Export Nigeria Ltd,Sweden,2021-05-26,359,38635.31,6945.16,13870076.29,Lagos,Sea,2493312.44,11376763.85,0.18,AENL
104,Cocoa,Agriplus Nigeria Limited,Sweden,2023-06-07,540,45317.85,7712.76,24471639.0,Warri,Sea,4164890.4,20306748.6,0.17,ANL
105,Cashew,Nigerian Export Promotion Council (NEPC),Denmark,2023-01-24,245,22058.15,9141.05,5404246.75,Port Harcourt,Sea,2239557.25,3164689.5,0.41,NEPC
106,Plantain,Greenfield Agro Exporters Nigeria Limited,Austria,2023-03-23,151,29521.86,9423.51,4457800.86,Lagos,Sea,1422950.01,3034850.8500000006,0.32,GAENL
107,Cocoa,Prime Agro Exports Nigeria Limited,Sweden,2021-06-03,157,11352.41,6556.99,1782328.37,Lagos,Sea,1029447.4299999999,752880.9400000002,0.58,PAENL
108,Sesame,Agro Export Nigeria Ltd,Italy,2021-03-04,711,30663.26,3202.33,21801577.86,Lagos,Sea,2276856.63,19524721.23,0.1,AENL
109,Rubber,Agro Allied Exporters Nigeria Limited,Netherlands,2020-06-13,340,12752.48,2678.21,4335843.2,Lagos,Sea,910591.4,3425251.8000000003,0.21,AAENL
110,Cassava,Farmgate Nigeria Limited,Italy,2023-03-09,115,45869.9,7995.95,5275038.5,Lagos,Sea,919534.25,4355504.25,0.17,FNL
111,Cashew,Nigeria Agro Export Company,Belgium,2020-03-31,627,34746.28,9410.62,21785917.56,Lagos,Sea,5900458.74,15885458.819999998,0.27,NAEC
112,Plantain,Agro Allied Exporters Nigeria Limited,Switzerland,2020-08-25,844,34836.78,2564.43,29402242.32,Lagos,Sea,2164378.92,27237863.4,0.07,AAENL
113,Rubber,Golden Farms Nigeria Limited,Denmark,2023-05-02,476,46857.65,3468.63,22304241.4,Lagos,Sea,1651067.8800000001,20653173.52,0.07,GFNL
114,Cocoa,Greenfield Agro Exporters Nigeria Limited,Sweden,2022-10-01,199,46862.07,7340.8,9325551.93,Calabar,Sea,1460819.2,7864732.7299999995,0.16,GAENL
115,Cashew,Prime Agro Exports Nigeria Limited,France,2021-12-24,279,13571.23,9897.25,3786373.17,Calabar,Sea,2761332.75,1025040.4199999999,0.73,PAENL
116,Cocoa,Agriplus Nigeria Limited,Italy,2020-12-14,332,42678.9,2935.51,14169394.8,Lagos,Sea,974589.3200000001,13194805.48,0.07,ANL
117,Cassava,Greenfield Agro Exporters Nigeria Limited,Germany,2023-12-30,769,32821.57,8150.57,25239787.33,Lagos,Sea,6267788.33,18971999.0,0.25,GAENL
118,Rubber,Nigeria Agro Export Company,Sweden,2021-02-04,413,47019.51,3971.94,19419057.63,Lagos,Sea,1640411.22,17778646.41,0.08,NAEC
119,Cashew,Greenfield Agro Exporters Nigeria Limited,Switzerland,2023-05-23,221,49351.36,5461.08,10906650.56,Lagos,Sea,1206898.68,9699751.88,0.11,GAENL
120,Plantain,Farmgate Nigeria Limited,Netherlands,2022-08-26,103,12852.2,8992.5,1323776.6,Lagos,Sea,926227.5,397549.1000000001,0.7,FNL
121,Palm Oil,Agro Export Nigeria Ltd,Belgium,2023-11-17,936,17721.41,9564.42,16587239.76,Lagos,Sea,8952297.12,7634942.640000001,0.54,AENL
122,Sesame,Nigerian Export Promotion Council (NEPC),France,2021-10-05,762,31063.94,8486.77,23670722.28,Lagos,Sea,6466918.74,17203803.54,0.27,NEPC
123,Cassava,Nigeria Agro Export Company,France,2021-04-30,377,38436.41,7116.02,14490526.57,Lagos,Sea,2682739.54,11807787.030000001,0.19,NAEC
124,Cashew,Solid Agro Nigeria Limited,France,2020-07-06,396,28963.42,9765.76,11469514.32,Calabar,Sea,3867240.96,7602273.36,0.34,SANL
125,Sesame,Agro Export Nigeria Ltd,Austria,2023-03-16,810,25588.62,3915.42,20726782.2,Port Harcourt,Sea,3171490.2,17555292.0,0.15,AENL
126,Cocoa,Agro Allied Exporters Nigeria Limited,Sweden,2020-06-14,166,33789.42,7069.44,5609043.72,Lagos,Sea,1173527.04,4435516.68,0.21,AAENL
127,Sesame,Agro Export Nigeria Ltd,Belgium,2020-02-25,613,24452.58,6241.25,14989431.54,Lagos,Sea,3825886.25,11163545.29,0.26,AENL
128,Rubber,Solid Agro Nigeria Limited,Sweden,2020-09-04,567,20951.06,4547.67,11879251.02,Lagos,Sea,2578528.89,9300722.129999999,0.22,SANL
129,Plantain,Golden Farms Nigeria Limited,Netherlands,2021-10-03,630,33495.61,4141.31,21102234.3,Lagos,Sea,2609025.3000000003,18493209.0,0.12,GFNL
130,Cashew,Agro Export Nigeria Ltd,Belgium,2021-02-08,779,41434.9,4902.39,32277787.1,Lagos,Sea,3818961.81,28458825.290000003,0.12,AENL
131,Cocoa,Farmgate Nigeria Limited,Netherlands,2021-10-02,310,27530.43,2895.68,8534433.3,Lagos,Sea,897660.7999999999,7636772.500000001,0.11,FNL
132,Plantain,Prime Agro Exports Nigeria Limited,Belgium,2023-09-02,755,25170.32,6920.42,19003591.6,Lagos,Sea,5224917.1,13778674.500000002,0.27,PAENL
133,Ginger,Greenfield Agro Exporters Nigeria Limited,Denmark,2021-11-02,775,33127.43,2179.18,25673758.25,Port Harcourt,Sea,1688864.4999999998,23984893.75,0.07,GAENL
134,Plantain,Agro Allied Exporters Nigeria Limited,Spain,2021-06-04,474,10811.43,3362.61,5124617.82,Lagos,Sea,1593877.1400000001,3530740.68,0.31,AAENL
135,Palm Oil,Agriplus Nigeria Limited,Italy,2023-03-30,147,21580.37,5867.99,3172314.39,Lagos,Sea,862594.5299999999,2309719.8600000003,0.27,ANL
136,Cassava,Prime Agro Exports Nigeria Limited,Sweden,2020-05-02,662,31310.98,6516.4,20727868.76,Lagos,Sea,4313856.8,16414011.96,0.21,PAENL
137,Cocoa,Agro Export Nigeria Ltd,Belgium,2023-07-29,283,24034.1,8798.82,6801650.3,Lagos,Sea,2490066.06,4311584.24,0.37,AENL
138,Palm Oil,Prime Agro Exports Nigeria Limited,Sweden,2021-03-03,676,22251.72,5992.39,15042162.72,Lagos,Sea,4050855.64,10991307.08,0.27,PAENL
139,Cocoa,Golden Farms Nigeria Limited,Germany,2023-07-18,948,14062.61,7842.17,13331354.28,Warri,Sea,7434377.16,5896977.119999999,0.56,GFNL
140,Cassava,Prime Agro Exports Nigeria Limited,Netherlands,2020-08-11,158,24848.97,5426.09,3926137.26,Port Harcourt,Sea,857322.22,3068815.04,0.22,PAENL
141,Cassava,Farmgate Nigeria Limited,Germany,2022-03-09,907,17899.88,6976.49,16235191.16,Lagos,Sea,6327676.43,9907514.73,0.39,FNL
142,Sesame,Prime Agro Exports Nigeria Limited,Italy,2023-08-13,737,19643.3,9374.93,14477112.1,Lagos,Sea,6909323.41,7567788.6899999995,0.48,PAENL
143,Cassava,Agro Export Nigeria Ltd,France,2020-08-10,736,19997.9,8920.82,14718454.4,Lagos,Sea,6565723.52,8152730.880000001,0.45,AENL
144,Cocoa,Golden Farms Nigeria Limited,Belgium,2020-08-17,167,24405.81,5557.46,4075770.27,Lagos,Sea,928095.82,3147674.45,0.23,GFNL
145,Cashew,Prime Agro Exports Nigeria Limited,Austria,2022-05-17,603,25715.79,9586.46,15506621.37,Port Harcourt,Sea,5780635.38,9725985.989999998,0.37,PAENL
146,Rubber,Golden Farms Nigeria Limited,Spain,2023-09-25,576,49473.14,6506.39,28496528.64,Lagos,Sea,3747680.64,24748848.0,0.13,GFNL
147,Rubber,Agro Allied Exporters Nigeria Limited,Italy,2021-07-26,696,40906.92,5413.24,28471216.32,Lagos,Sea,3767615.04,24703601.28,0.13,AAENL
148,Cassava,Farmgate Nigeria Limited,Belgium,2020-02-21,312,29465.29,8310.14,9193170.48,Lagos,Sea,2592763.6799999997,6600406.800000001,0.28,FNL
149,Cocoa,Prime Agro Exports Nigeria Limited,Austria,2023-01-21,906,32575.54,9617.59,29513439.24,Lagos,Sea,8713536.540000001,20799902.699999996,0.3,PAENL
150,Cashew,Solid Agro Nigeria Limited,Spain,2023-06-01,290,40212.78,6892.54,11661706.2,Port Harcourt,Sea,1998836.6,9662869.6,0.17,SANL
151,Palm Oil,Solid Agro Nigeria Limited,Austria,2021-02-18,292,27482.77,3727.66,8024968.84,Lagos,Sea,1088476.72,6936492.12,0.14,SANL
152,Sesame,Agro Allied Exporters Nigeria Limited,Austria,2022-07-27,615,29388.41,4431.2,18073872.15,Lagos,Sea,2725188.0,15348684.149999999,0.15,AAENL
153,Rubber,Farmgate Nigeria Limited,Switzerland,2023-08-15,893,13305.27,7510.66,11881606.11,Warri,Sea,6707019.38,5174586.7299999995,0.56,FNL
154,Cassava,Solid Agro Nigeria Limited,Switzerland,2021-03-26,304,40982.46,9884.64,12458667.84,Lagos,Sea,3004930.5599999996,9453737.280000001,0.24,SANL
155,Sesame,Golden Farms Nigeria Limited,France,2022-08-17,856,38044.13,2728.58,32565775.28,Lagos,Sea,2335664.48,30230110.8,0.07,GFNL
156,Palm Oil,Agro Allied Exporters Nigeria Limited,Netherlands,2020-01-30,595,30005.57,7039.46,17853314.15,Lagos,Sea,4188478.7,13664835.45,0.23,AAENL
157,Cassava,Solid Agro Nigeria Limited,Belgium,2020-06-26,442,18782.89,5559.47,8302037.38,Port Harcourt,Sea,2457285.74,5844751.64,0.3,SANL
158,Sesame,Nigeria Agro Export Company,Austria,2020-07-10,223,38450.54,9971.93,8574470.42,Lagos,Sea,2223740.39,6350730.029999999,0.26,NAEC
159,Palm Oil,Agro Export Nigeria Ltd,Netherlands,2020-05-20,316,17819.75,9927.8,5631041.0,Lagos,Sea,3137184.8,2493856.2,0.56,AENL
160,Cocoa,Agriplus Nigeria Limited,Germany,2023-04-01,366,37718.55,3056.13,13804989.3,Lagos,Sea,1118543.58,12686445.72,0.08,ANL
161,Rubber,Nigerian Export Promotion Council (NEPC),Sweden,2023-02-05,196,39859.2,7877.05,7812403.2,Lagos,Sea,1543901.8,6268501.4,0.2,NEPC
162,Cocoa,Greenfield Agro Exporters Nigeria Limited,Spain,2021-08-07,232,40443.45,8390.75,9382880.4,Port Harcourt,Sea,1946654.0,7436226.4,0.21,GAENL
